id	occurrences	char	shape_hex
g144	1040	態	1d9ba87feb99295bfe3fe2a83aeba83aeb993aebfe25aaa82ade587aeaee25ffd9000000
g145	1040	許	3fce002a9ea8bffffc6aa8e03fc4e02a9ae92aaffe3fc0e03ac0e03fc0e03a80e0000000
g146	1018	士	002c00002c00002c00002c00bffffe6aaea9002c00002c00002c002aaea83ffffc000000
g147	1016	再	6aaaa9bffffe1abaa42ffff82c38382ffff82ebab86ebab9bffffe2c02b82c02f4000000
g148	980	正	2aaaa83ffffc002c00092c000e2c000e2ff80e2ea40e2c000e2c006eaea9bffffe000000
g149	966	反	2ffffc2eaaa82c00002ffff02eeab02ce0b02cb4e0282ec0381f80bafaf9239068000000
g150	944	信	029aa8079aa80b3ffe2e2aa97e2ffc6e1aa80e1aa80e2ffc0e2eac0e2ffc0e2eac000000
g151	944	英	6aeba9bffffe019a400aaea00ffff00e2cb0bffffe6abea902ff806f96f92e00b8000000
g152	942	担	0e2aa80e3ffcbfb82c6e7aac0e7ffc0fb82cbe382c6e3ffc0e2aa86e6aa93dbffe000000
g153	938	壁	3feae83aeffc3febb93a9ffebfeae8beeffc6fe0e02aaea83ffffc6aaea9bffffe000000
g154	934	和	6ab0003fa7fe0383ae3ffb8e2fe78e1fe38e2bb78e7b938e2383fe0383ae038249000000
g155	928	節	0ba7a92ffffe79da742aa2a93ff3fe3ab38e3ab38e3ff38e38a3ae7ff798be7780000000
g156	906	廃	2aaea93ffffe3aaa503abfe93bb5fd3bfffd3abad83bfffe76bae9b2f6ee2291fd000000
g157	906	忍	3ffffc2bbaac0bb42c06f92c7f69fc1804a415ad042eca683ec4edbaeaed21ffd4000000
g158	896	語	3feffc2a9ae8bfeff86a9bb83febb92abffe2a9aa83feffc3aec2c3feffc3aaeac000000
g159	892	鳴	002ba8bfbaacbbbffcb3baacb3baa8b3bffeb3baa9bbbffebfa59eb07aee00baed000000
g160	874	残	3fcb782e8bb81e2ffd2fdba43adff8becba82baffd0b5ae81e02f87d2bfa241e3d000000
g161	856	随	bf90e0bbb7feb77ae9ba16feba0beeb7beeeb3aefeb7aedebb6e88b5bffdb062a8000000
g162	846	掛	2c2cb02cbfb0bf6eb06eaeb02efff82f18bdbcaeba6cffb42c2eb06cffb038a4b0000000
g163	828	配	bffbfc6ee6ac6ee02cbff02caeb6acbdfbfcaabb00bffb04babb0ebffbaeb007fd000000
g164	798	僕	0a6ee80e6ee82dfffe3caeb9bcfffe3c6ba82cbffc2caba92cfffe2caef92cb86c000000
g165	796	予	0fffe00aabd000ab40007d00bffffe6abaad00387800382400380002b80002f400000000
g166	796	法	1d03800b438022bffc786ba81d038000fffe0aaba90e0e282d2d2c78befd24bfad000000
g167	792	右	003800003800bffffe6abaa900e00002eaa46ffff83b803803803803fff803aab8000000
g168	784	況	28bffc1ebaac25b02c78b02c1dbffc006ee80a2ce00e38e02db4e97ae0ee2580bd000000
g169	776	給	0d02d06c07e0ba6e7d3fbead2e5ff87e9aa8beeffc2a6c2c7bac2caaeffc5eaeac000000
g170	776	乗	1aaae00fffa02aaea82baee8bffffe6baee93ffffc2affa81beee47e6cbd142c14000000
g171	774	背	2acba83fcbe86acbae3ac7fd0aaaa00ffff00eaab00eaab00ffff00e06b00e03e0000000
g172	764	密	002c00bffffebabaae6aeba93aeeac2bfae418ae802c2c382c2c382ffff82eaab8000000
g173	760	供	0a38e00e38e02dbae83cfffcbc38e03c38e02efffe2daaa92c38b02cb4782c6024000000
g174	756	犬	002ca0002c742aaea83ffffc002c00003e0000bf0001fb8007d2e06f40b9290028000000
g175	756	圧	3ffffe3aaaa9380b00380b003aaba83bfffc380b00380b00740b00bbfffe26aaa9000000
g176	752	頂	6abffebfeba90e2ffc0e2eac0e2ffc0e2eac0e2ffc0e2eac0e2ffc7e6e7928392c000000
g177	742	左	00b0002abaa93ffffe01d00002800007fffc0aaba82d0b00780b0066aba90bfffe000000
g178	740	相	0386a9038bfe3ffb0e2bebae0bdbfe1ffb0e7babfe278bae038b0e038bfe038bae000000
g179	740	強	6a4768bf8a6c03bffe3f9ac83a7ffe7a7aeebfbaee03bffe0382d82baaed2e3fed000000
g180	732	集	0b07400ffffc2eaea4beaea41ffff80eaea80aaea83ffffc2bffe86fadb9282c19000000
g181	728	普	0782d03ffffc2eebb81eebb4bffffe6aaaa92ffff82eaab82eaab82ffff82eaab8000000
g182	718	危	03aa900bffe07faae92ffffe2daaa02efff02ec0b02ecbe03ac689b6eaae21fffd000000
g183	718	壊	2c6ae92cbffe2c6ae9bfbaee6ebaee2c6ae92cbffe2f6eedbefeb9a46fad002a58000000
g184	714	取	bfeaa87adffc3ac62c3fcb2c3ac7683fc3b83ac2f03ac1e07fc7f47aef6d02d918000000
g185	704	殺	25d3f06fe3b41f97ba79ebbe1b4628bfeffc6f9abc2fdbb8bfa2e02b2bf90b0a2c000000
g186	704	景	2ffff82eaab82eaab82ffff86aaea96aaaa92ffff82eaab81baee47eadbd24b818000000
g187	692	雄	0e0d240e1e78bfeffe6ebeb93baffc3b8eb8bb0eb82aaffc2eaeb02fbffe145ea9000000
g188	692	握	2cbffe2cbaaebfbffe6ebaa92ebffe2fbbadbcbbe96cb6e82cebfc6ceae9386ffe000000
g189	690	棄	6aaea9bffffe075ab03ffab86eaeb96eaeb90ffff02aaea83ffffc6beee9792cad000000
g190	688	悔	0e2ea91e2ffe3bbaa83beffc6a6cec6ebffe0e6ead0e2ead0e3ffe0e25b80e00f4000000
g191	684	依	0a03800e03802dfffe3cafe9bc2ed03c7ced2efcb82cacb42c2c382cafae2cba48000000
g192	684	諜	bfaeb86a7ffebfeeb96aaef8bfaea96a6ffe6a6ae9bfbffeba9bf8bfbeedba56c4000000
g193	682	攻	000a00bfeb006e9ffe0e2ead0e7e280e2bb80e03f00e92e0bfe7f8696e2e002808000000
g194	676	胆	3fdaa83aeffc3aec2c3feeac3aeffc3aec2c3fec2c3aeffc7adaa8b6eaa923bffe000000
g195	674	様	0e1d280e3ffebfeae96eaffc2f5ae87ffffe6e6ae91e2eec0e2ef40e7aed0e1788000000
g196	674	日	0ffff00eaab00e00b00e00b00ffff00eaab00e00b00e00b00eaab00ffff00e00b0000000
g197	672	盾	1aaaf42fffa82eaba92ffffe2daba82eeaac2efffc2aeaac3aeaacb6fffc22eaac000000
g198	672	沢	28bffc1ebaac25b02c78baac1dbffc00b0e00ab0a00eb0b02de0387ae02d248018000000
g199	672	死	2aaaa83ffffc0b03800bfb841ebb9d7d77f87bb3e012e3800b83896e03ae2802fd000000
g200	664	肘	3fe0383ae03838effe3feab93ae6383ae7783fe2b838e13878e038b2e1b822d0f4000000
g201	656	娘	2c02c02c2ffc3feeac2eeffc2eeeac3aaeac3baffc2f2edd1facf87dff79243e28000000
g202	656	局	2ffffc2eaaac2ffffc2eaaa82ffffc2eaaac2effac2ec3ac3affacb802ac2002f8000000
g203	654	等	0ba7a97ffffe25ed741abaa42ffff86abaa9bffffe2aaae83ffffc079ac0014f80000000
g204	652	先	062c000baea41ffff8282c00002c00bffffe6aeba902c3800783896e03ae2802fd000000
g205	652	清	286ba81e6ba825bffc78aba91daaa900bffc0abaac0ebaac2dbffc78b0ac24b0b8000000
g206	634	憶	0e6ba81e6eb83baeb93baaa96abffc6ebaac0ebaac0e6ba80ebbad0fbaba0eaff4000000
g207	632	矛	0ffff00aaae000a780007e00bffffe6abead02fc786fac24282c0002ac0002f800000000
g208	632	断	62c2a8bae7f9bbf780b6d3a9bffbfebbe7b8bbf3b8beef78b6db38bffe38baa638000000
g209	624	築	0ba7a97ffffe25d9743fcff02b9eb97feefe2818683ffffc2bffe86fadf9282c29000000
g210	624	綿	186ab0a8bfb0ba3abe3ebbad2abeec7b6cacbeaeb82ebf386f6cbcaeafae6dbe89000000
g211	620	判	12c40e3aceee2eecee0ad4ee3ffcee2ae8ee6ae9eebffeee02c00e02c06e02c03d000000
g212	612	年	0e00001ffffc2eaea87aaea413fff8038e00038e00bffffe6aaea9000e00000e00000000
g213	610	組	060aa82e0ffcb98e2c2f8eac1e8ffc7ede2c3faeac2a8ffc7ade2caaaead5e7ffe000000
g214	600	基	2baae83ffffc0baae00baae00bffe06baae9bffffe6b59e93bffec2aaea83ffffc000000
g215	596	険	bf0b80bb6ee4baf42dba7ff4bd2ba0babffcbbb3acbbbffcbe0bd0b5bef9b06428000000
g216	586	編	0d2ab86c3fe9ba7aa93f7aae2e7ffe7ebaa9befffe2a7eba7bbbfeaafaba5e6a69000000
g217	586	崇	242c183ffffc2aaea8bffffebaaaae0ffff02aaaa83ffffc1a2de079acb810b810000000
g218	578	西	bffffe6aeba92aeba83ffffc38eb2c39db2c3acbac3f87fc39002c3ffffc3aaaac000000
g219	576	筋	0ba7a92ffffe79da742a92903feae93aeffe3fe2ce3ae28e3fe38e76eb6eb2da3d000000
g220	574	式	000b74000b2c6aaba9bffffe000b403fe7802b93800b02c80ba1eebff0fd680078000000
g221	572	単	1c74341e38b41faef42ffff82eaeb82eaeb82ffff81aaea4bffffe6aaea9002c00000000
g222	570	比	0e0b000e0b000e0b000e0b140ffbf80eab900e0b000e0b000e6b096ffbae3a47fd000000
